t,a_x,a_y,a_z,s_axx,s_ayy,s_azz,g_x,g_y,g_w,s_gxx,s_gyy,s_gzz,v_x,v_y,v_z,s_vxx,s_vyy,s_vzz,d_x,d_y,d_z,s_dxx,s_dyy,s_dzz
0,0.00200777372007227,-0.00255347031859176,0.00468507279515867,0.00390876492462773,0.00390876492462773,0.00390876492462773,-0.000355936686451983,-0.001456427843658,-0.0022619334150258,0.00165576471096602,0.00165576471096602,0.00165576471096602,1.00525641741713,-0.00040740832936677,0.00411866242895751,0.0474341649025257,0.0474341649025257,0.0474341649025257,0,0,0.00323557687975853,999999999,999999999,0.1
0.1,0.00166782623571716,0.00231206572161811,0.0091581990774327,0.00390876492462773,0.00390876492462773,0.00390876492462773,0.000316783809919792,-0.000513366487050495,-0.00345415366192735,0.00165576471096602,0.00165576471096602,0.00165576471096602,1.00609749967787,-0.0288647057112175,-0.0289506525197293,0.0474341649025257,0.0474341649025257,0.0474341649025257,0.100510640743579,-6.48335103216764e-05,0.0407773909440876,999999999,999999999,0.1
0.2,0.00240704243247782,-0.00298516200027385,0.00327196560579127,0.00390876492462773,0.00390876492462773,0.00390876492462773,0.00024642457334084,0.000755916768257202,-0.000136102915876685,0.00165576471096602,0.00165576471096602,0.00165576471096602,0.949130159798453,-0.0304346688720097,-0.036341406244335,0.0474341649025257,0.0474341649025257,0.0474341649025257,0.204744174120115,-0.000193501137350748,0.0114012473270679,999999999,999999999,0.1
0.3,0.00150329099822925,-0.00158039661810803,0.00107869715748177,0.00390876492462773,0.00390876492462773,0.00390876492462773,-0.00114721165010115,-0.000603066761591086,0.000270439162871007,0.00165576471096602,0.00165576471096602,0.00165576471096602,1.04933305697538,0.0239605891690677,0.0262252783371035,0.0474341649025257,0.0474341649025257,0.0474341649025257,0.3051176205125,-0.000376567710625625,-0.0543445518496586,999999999,999999999,0.1
0.4,0.00296931493701533,-0.0049837697696886,0.0033988965179906,0.00390876492462773,0.00390876492462773,0.00390876492462773,-0.000324113177402921,-9.22518176070181e-05,-0.000115662928712136,0.00165576471096602,0.00165576471096602,0.00165576471096602,0.857017365273033,0.0484751398446622,-0.0256246906902654,0.0474341649025257,0.0474341649025257,0.0474341649025257,0.348992522771353,-0.000413162017973694,0.0176638655688082,999999999,999999999,0.1
0.5,0.00135449281346795,-0.00362851206550812,0.00410631612570935,0.00390876492462773,0.00390876492462773,0.00390876492462773,0.00157561550234408,-0.000579433279712068,-0.0019560712930691,0.00165576471096602,0.00165576471096602,0.00165576471096602,1.04936188508287,0.0630359117021026,-0.0140397218819551,0.0474341649025257,0.0474341649025257,0.0474341649025257,0.456282926852533,-0.000840728246571862,-0.0373093387835093,999999999,999999999,0.1
0.6,0.0012215910490281,0.00437800118001225,-0.00285532208703574,0.00390876492462773,0.00390876492462773,0.00390876492462773,0.0012540791230289,-0.00124433009351792,0.000124910134084407,0.00165576471096602,0.00165576471096602,0.00165576471096602,1.02675878679295,0.0450661740892516,0.0223197729255543,0.0474341649025257,0.0474341649025257,0.0474341649025257,0.492324650932936,-0.000893021950265087,-0.0125125779171995,999999999,999999999,0.1
0.7,-0.00182333316749856,-0.00436319591483989,-0.00124204004254988,0.00390876492462773,0.00390876492462773,0.00390876492462773,-0.00120115799885926,-0.00124108773795433,-0.00108113901485918,0.00165576471096602,0.00165576471096602,0.00165576471096602,0.995279194770434,0.0117995565525788,-0.0214962124199741,0.0474341649025257,0.0474341649025257,0.0474341649025257,0.567733813486103,-0.00144888357615023,0.0201602115830035,999999999,999999999,0.1
0.8,-0.00293925641104017,0.0022148201136638,0.00351168912181372,0.00390876492462773,0.00390876492462773,0.00390876492462773,-0.00136988748243732,0.000189773247970127,-0.000376106067095218,0.00165576471096602,0.00165576471096602,0.00165576471096602,1.01570833171459,-0.0286731800594555,-0.0200363708628842,0.0474341649025257,0.0474341649025257,0.0474341649025257,0.707322420024098,-0.00367754152743294,-0.00647938103752332,999999999,999999999,0.1
0.9,-0.00222525834056734,0.00533284330536371,0.00121069044872411,0.00390876492462773,0.00390876492462773,0.00390876492462773,-0.00445015364509184,-0.00247356398183296,0.000968069399318818,0.00165576471096602,0.00165576471096602,0.00165576471096602,0.984355240629859,0.0178937748055335,-0.0216842017777583,0.0474341649025257,0.0474341649025257,0.0474341649025257,0.800695859264128,-0.00537816854780417,0.0346170552098777,999999999,999999999,0.1
1,-0.00157840651009231,-0.000530423254420498,-0.00400604206752871,0.00390876492462773,0.00390876492462773,0.00390876492462773,0.000442497812199074,-0.00103843962495531,-0.0015525690301607,0.00165576471096602,0.00165576471096602,0.00165576471096602,1.00647609851756,0.00901914641918854,0.050483347947266,0.0474341649025257,0.0474341649025257,0.0474341649025257,1.01008009616658,-0.0147508149157449,0.0599553332117923,999999999,999999999,0.1
1.1,-0.00220662790572214,0.000319016885734331,0.000661658660261267,0.00390876492462773,0.00390876492462773,0.00390876492462773,-0.00168625175414135,-0.00026649111994651,-0.000707594284040305,0.00165576471096602,0.00165576471096602,0.00165576471096602,1.01765013525598,0.0669662459663519,0.0304597027173786,0.0474341649025257,0.0474341649025257,0.0474341649025257,1.10474979851245,0.00622772221875176,0.0375208209179598,999999999,999999999,0.1
1.2,-0.00341941199668263,0.0110399241051258,0.00126796945125412,0.00390876492462773,0.00390876492462773,0.00390876492462773,-0.00113211591517262,0.0016756645133994,-0.0023713345318496,0.00165576471096602,0.00165576471096602,0.00165576471096602,0.974288037020804,0.028756138177069,-0.139124193852316,0.0474341649025257,0.0474341649025257,0.0474341649025257,1.2053499430241,0.00725720483182224,0.0301606763525261,999999999,999999999,0.1
1.3,-0.00703313285584578,0.00501200398041054,-0.00522818029154587,0.00390876492462773,0.00390876492462773,0.00390876492462773,0.00164036949479547,-0.000320297410675837,-0.000600307790238609,0.00165576471096602,0.00165576471096602,0.00165576471096602,0.931446781022891,-0.00160020538774898,-0.0203130370552302,0.0474341649025257,0.0474341649025257,0.0474341649025257,1.30662165464705,0.00837688445508525,-0.0847399350517202,999999999,999999999,0.1
1.4,-0.00372052774599771,0.0107627943580743,-0.00462633518415224,0.00390876492462773,0.00390876492462773,0.00390876492462773,-0.000410559694000009,-0.000152382850282938,0.000362514978925437,0.00165576471096602,0.00165576471096602,0.00165576471096602,1.10257646128216,0.0688493032983305,-0.0553871198094314,0.0474341649025257,0.0474341649025257,0.0474341649025257,1.4076857182132,0.00959392987901536,-0.000967799930846749,999999999,999999999,0.1
1.5,0.00382549098216175,0.00958081856776907,-0.0031486646146064,0.00390876492462773,0.00390876492462773,0.00390876492462773,-0.00163919860506597,-0.00289706164238394,-0.00404475790906388,0.00165576471096602,0.00165576471096602,0.00165576471096602,0.947640689923269,-0.00296574760583075,0.0185386800371022,0.0474341649025257,0.0474341649025257,0.0474341649025257,1.50811474437872,0.0109269678807023,0.0800148730605558,999999999,999999999,0.1
1.6,-0.003737008972529,0.0174974600933529,0.0024513250998619,0.00390876492462773,0.00390876492462773,0.00390876492462773,0.00163520441083575,0.000688750703721381,-0.00403431533504104,0.00165576471096602,0.00165576471096602,0.00165576471096602,0.98080880016578,0.0469611271011944,0.0953371238962307,0.0474341649025257,0.0474341649025257,0.0474341649025257,1.61364337265002,0.0123914123343626,0.0283077446247004,999999999,999999999,0.1
1.7,6.43102639474578e-05,0.0163709635320453,-0.00599495399041358,0.00390876492462773,0.00390876492462773,0.00390876492462773,-0.000181289365790229,-0.00109790947402644,-0.00472020624557868,0.00165576471096602,0.00165576471096602,0.00165576471096602,0.984910248928347,0.00708672866435812,0.0354643850642995,0.0474341649025257,0.0474341649025257,0.0474341649025257,1.71897110564924,0.0139182406301692,0.0350130664771409,999999999,999999999,0.1
1.8,-0.00565322070036272,0.0204647407798288,0.0032802491406223,0.00390876492462773,0.00390876492462773,0.00390876492462773,0.000170090222212309,-0.00198394377860764,-0.00303854503961657,0.00165576471096602,0.00165576471096602,0.00165576471096602,0.947794890859993,0.013838291226318,0.0142920203749987,0.0474341649025257,0.0474341649025257,0.0474341649025257,1.82751081863078,0.0155448419435486,-0.0124892307413307,999999999,999999999,0.1
1.9,0.00042678490349628,0.0231192807039451,-0.00529360879279867,0.00390876492462773,0.00390876492462773,0.00390876492462773,-0.00101577688307843,0.000172264279453461,-0.0015088723306119,0.00165576471096602,0.00165576471096602,0.00165576471096602,0.985101397798844,-0.0152124068224041,-0.016906621190867,0.0474341649025257,0.0474341649025257,0.0474341649025257,1.92738091488092,0.0171391184928708,0.06186061861863,999999999,999999999,0.1
2,0.00218438464088192,0.0226740203887968,-0.00950343383277317,0.00390876492462773,0.00390876492462773,0.00390876492462773,-0.00151833690313409,-0.000762929878527156,-0.00260065102375098,0.00165576471096602,0.00165576471096602,0.00165576471096602,1.0214836798495,0.050822678486157,0.0117419985566453,0.0474341649025257,0.0474341649025257,0.0474341649025257,2.04902677535744,0.0190073955089028,0.0155964428713973,999999999,999999999,0.1
2.1,0.00349235716018123,0.0261427705430007,-0.00412527214738111,0.00390876492462773,0.00390876492462773,0.00390876492462773,-0.00358422319020151,9.91233711904044e-07,-0.00283009295934883,0.00165576471096602,0.00165576471096602,0.00165576471096602,0.986302192997831,-0.0390519890790394,-0.00394680682432797,0.0474341649025257,0.0474341649025257,0.0474341649025257,2.11916039362062,0.0404842469336399,-0.0137229009605162,999999999,999999999,0.1
