2.3,1.015,0.004862,1.773e-05,0.01891,-0.003079,-0.2452,2.317,0.001649,8.269e-05,0.01509,-0.004455,-0.18,0,0,0,5.75,0,111,0.006195,0.004456,4.992e-06,0.01256,-0.0003356,-0.1962
2.4,1.016,0.00533,1.814e-05,0.02017,-0.003108,-0.2655,2.419,0.001816,9.249e-05,0.01698,-0.004756,-0.2045,0,0,0,6,0,111,0.006125,0.004685,4.12e-06,0.01262,-0.0002825,-0.2028
2.5,1.017,0.005822,1.845e-05,0.02143,-0.003131,-0.2864,2.52,0.001987,0.0001029,0.019,-0.005059,-0.231,0,0,0,6.25,0,111,0.006052,0.004915,3.151e-06,0.01264,-0.0002345,-0.2093
2.6,1.017,0.006336,1.866e-05,0.0227,-0.00315,-0.308,2.622,0.002159,0.0001139,0.02115,-0.005363,-0.2597,0,0,0,6.5,0,111,0.005975,0.005145,2.08e-06,0.01264,-0.0001918,-0.2157
2.7,1.018,0.006874,1.875e-05,0.02396,-0.003166,-0.3302,2.724,0.002331,0.0001255,0.02342,-0.005666,-0.2905,0,0,0,6.75,0,111,0.005894,0.005376,9.051e-07,0.01262,-0.0001546,-0.2219
2.8,1.018,0.007435,1.871e-05,0.02522,-0.003178,-0.353,2.825,0.002503,0.0001377,0.02582,-0.005969,-0.3235,0,0,0,7,0,111,0.005808,0.005608,-3.783e-07,0.01258,-0.0001229,-0.2279
2.9,1.019,0.008019,1.854e-05,0.02647,-0.003188,-0.3763,2.927,0.002671,0.0001506,0.02834,-0.006271,-0.3588,0,0,0,7.25,0,111,0.005717,0.00584,-1.773e-06,0.01252,-9.687e-05,-0.2338
3,1.019,0.008626,1.821e-05,0.02771,-0.003195,-0.4003,3.029,0.002835,0.000164,0.03099,-0.006571,-0.3964,0,0,0,7.5,0,111,0.005622,0.006073,-3.283e-06,0.01244,-7.673e-05,-0.2396
3.1,1.02,0.009257,1.772e-05,0.02895,-0.003202,-0.4248,3.131,0.002992,0.0001779,0.03377,-0.006869,-0.4365,0,0,0,7.75,0,111,0.005523,0.006306,-4.912e-06,0.01234,-6.263e-05,-0.2452
3.2,1.021,0.009911,1.705e-05,0.03017,-0.003207,-0.4499,3.233,0.003141,0.0001925,0.03667,-0.007164,-0.4789,0,0,0,8,0,111,0.005419,0.006539,-6.662e-06,0.01223,-5.472e-05,-0.2508
3.3,1.021,0.01059,1.62e-05,0.03138,-0.003212,-0.4755,3.335,0.003279,0.0002076,0.03969,-0.007456,-0.5239,0,0,0,8.25,0,111,0.005309,0.006772,-8.537e-06,0.01212,-5.319e-05,-0.2561
3.4,1.022,0.01129,1.514e-05,0.03258,-0.003218,-0.5017,3.437,0.003404,0.0002232,0.04284,-0.007745,-0.5715,0,0,0,8.5,0,111,0.005195,0.007005,-1.054e-05,0.01199,-5.82e-05,-0.2614
3.5,1.022,0.01201,1.388e-05,0.03377,-0.003225,-0.5283,3.54,0.003514,0.0002394,0.0461,-0.008029,-0.6217,0,0,0,8.75,0,111,0.005076,0.007238,-1.268e-05,0.01185,-6.995e-05,-0.2665
3.6,1.023,0.01276,1.238e-05,0.03494,-0.003234,-0.5555,3.642,0.003606,0.0002561,0.04949,-0.008309,-0.6745,0,0,0,9,0,111,0.004952,0.007471,-1.495e-05,0.01171,-8.861e-05,-0.2716
3.7,1.023,0.01353,1.065e-05,0.03609,-0.003245,-0.5831,3.744,0.003678,0.0002732,0.05299,-0.008584,-0.73,0,0,0,9.25,0,111,0.004822,0.007703,-1.735e-05,0.01157,-0.0001144,-0.2765
